date,store_nbr,family,sales,onpromotion
2016-08-01,1,PERSONAL CARE,198.0,2
2016-08-01,1,PRODUCE,2607.37,1
2016-08-01,10,PERSONAL CARE,250.0,9
2016-08-01,10,PRODUCE,308.86,4
2016-08-01,11,PERSONAL CARE,840.0,12
2016-08-01,11,PRODUCE,1488.733,2
2016-08-01,12,PERSONAL CARE,325.0,9
2016-08-01,12,PRODUCE,340.056,1
2016-08-01,13,PERSONAL CARE,268.0,11
2016-08-01,13,PRODUCE,221.531,2
2016-08-01,14,PERSONAL CARE,450.0,9
2016-08-01,14,PRODUCE,329.651,2
2016-08-01,15,PERSONAL CARE,290.0,10
2016-08-01,15,PRODUCE,643.696,3
2016-08-01,16,PERSONAL CARE,221.0,7
2016-08-01,16,PRODUCE,588.58,3
2016-08-01,17,PERSONAL CARE,464.0,9
2016-08-01,17,PRODUCE,1456.674,2
2016-08-01,18,PERSONAL CARE,188.0,5
2016-08-01,18,PRODUCE,1587.402,3
2016-08-01,19,PERSONAL CARE,320.0,10
2016-08-01,19,PRODUCE,454.539,2
2016-08-01,2,PERSONAL CARE,337.0,1
2016-08-01,2,PRODUCE,2762.785,1
2016-08-01,20,PERSONAL CARE,539.0,11
2016-08-01,20,PRODUCE,1121.583,2
2016-08-01,21,PERSONAL CARE,406.0,9
2016-08-01,21,PRODUCE,1006.963,3
2016-08-01,22,PERSONAL CARE,238.0,8
2016-08-01,22,PRODUCE,537.568,3
2016-08-01,23,PERSONAL CARE,192.0,1
2016-08-01,23,PRODUCE,1097.312,1
2016-08-01,24,PERSONAL CARE,329.0,0
2016-08-01,24,PRODUCE,3379.109,0
2016-08-01,25,PERSONAL CARE,130.0,1
2016-08-01,25,PRODUCE,1289.753,0
2016-08-01,26,PERSONAL CARE,234.0,0
2016-08-01,26,PRODUCE,542.011,0
2016-08-01,27,PERSONAL CARE,230.0,2
2016-08-01,27,PRODUCE,2641.636,1
2016-08-01,28,PERSONAL CARE,744.0,9
2016-08-01,28,PRODUCE,1371.324,2
2016-08-01,29,PERSONAL CARE,355.0,11
2016-08-01,29,PRODUCE,1219.476,3
2016-08-01,3,PERSONAL CARE,667.0,1
2016-08-01,3,PRODUCE,8745.655,1
2016-08-01,30,PERSONAL CARE,113.0,3
2016-08-01,30,PRODUCE,407.727,2
2016-08-01,31,PERSONAL CARE,478.0,9
2016-08-01,31,PRODUCE,1229.892,3
2016-08-01,32,PERSONAL CARE,126.0,4
2016-08-01,32,PRODUCE,173.417,3
2016-08-01,33,PERSONAL CARE,410.0,9
2016-08-01,33,PRODUCE,1344.639,3
2016-08-01,34,PERSONAL CARE,417.0,11
2016-08-01,34,PRODUCE,761.813,2
2016-08-01,35,PERSONAL CARE,98.0,6
2016-08-01,35,PRODUCE,311.106,4
2016-08-01,36,PERSONAL CARE,465.0,10
2016-08-01,36,PRODUCE,1383.113,2
2016-08-01,37,PERSONAL CARE,307.0,1
2016-08-01,37,PRODUCE,2974.501,1
2016-08-01,38,PERSONAL CARE,465.0,2
2016-08-01,38,PRODUCE,2118.111,1
2016-08-01,39,PERSONAL CARE,476.0,10
2016-08-01,39,PRODUCE,1779.9711,3
2016-08-01,4,PERSONAL CARE,307.0,2
2016-08-01,4,PRODUCE,2649.486,0
2016-08-01,40,PERSONAL CARE,586.0,9
2016-08-01,40,PRODUCE,1192.9,3
2016-08-01,41,PERSONAL CARE,330.0,1
2016-08-01,41,PRODUCE,1831.19,1
2016-08-01,42,PERSONAL CARE,305.0,1
2016-08-01,42,PRODUCE,2935.98,1
2016-08-01,43,PERSONAL CARE,390.0,8
2016-08-01,43,PRODUCE,870.944,3
2016-08-01,44,PERSONAL CARE,587.0,2
2016-08-01,44,PRODUCE,9679.143,1
2016-08-01,45,PERSONAL CARE,932.0,3
2016-08-01,45,PRODUCE,7327.349,1
2016-08-01,46,PERSONAL CARE,958.0,3
2016-08-01,46,PRODUCE,3393.29,1
2016-08-01,47,PERSONAL CARE,1017.0,2
2016-08-01,47,PRODUCE,6433.236,0
2016-08-01,48,PERSONAL CARE,1064.0,3
2016-08-01,48,PRODUCE,2264.547,1
2016-08-01,49,PERSONAL CARE,581.0,2
2016-08-01,49,PRODUCE,7637.741,1
2016-08-01,5,PERSONAL CARE,317.0,2
2016-08-01,5,PRODUCE,1624.434,1
2016-08-01,50,PERSONAL CARE,701.0,2
2016-08-01,50,PRODUCE,2397.263,1
2016-08-01,51,PERSONAL CARE,292.0,1
2016-08-01,51,PRODUCE,5512.628,1
2016-08-01,52,PERSONAL CARE,0.0,0
2016-08-01,52,PRODUCE,0.0,0
2016-08-01,53,PERSONAL CARE,540.0,2
2016-08-01,53,PRODUCE,2494.876,1
2016-08-01,54,PERSONAL CARE,351.0,8
2016-08-01,54,PRODUCE,624.959,2
2016-08-01,6,PERSONAL CARE,371.0,2
2016-08-01,6,PRODUCE,2408.069,1
2016-08-01,7,PERSONAL CARE,318.0,1
2016-08-01,7,PRODUCE,5865.483,0
2016-08-01,8,PERSONAL CARE,349.0,2
2016-08-01,8,PRODUCE,4731.777,1
2016-08-01,9,PERSONAL CARE,755.0,10
2016-08-01,9,PRODUCE,1778.86,3
2016-08-02,1,PERSONAL CARE,152.0,1
2016-08-02,1,PRODUCE,1864.525,1
2016-08-02,10,PERSONAL CARE,220.0,7
2016-08-02,10,PRODUCE,317.037,57
2016-08-02,11,PERSONAL CARE,723.0,13
2016-08-02,11,PRODUCE,2364.191,129
2016-08-02,12,PERSONAL CARE,266.0,8
2016-08-02,12,PRODUCE,373.112,78
2016-08-02,13,PERSONAL CARE,260.0,9
2016-08-02,13,PRODUCE,251.811,38
2016-08-02,14,PERSONAL CARE,334.0,8
2016-08-02,14,PRODUCE,466.704,72
